YEAR,GEAR,portgrp,Crew,Fuel,Speed,Days,Number of vessels
2013,Fixed gear,San Francisco and Bodega Bay,-999,-999,#N/A,-999,-999
2013,Fixed gear,Washington,-999,-999,#N/A,-999,-999
2013,Trawl,Astoria and Tillamook,1.923076923,270.2307692,4.69,97.84615385,13
2013,Trawl,Brookings and Crescent City,2.2,352,2.14,53,5
2013,Trawl,Coos Bay,2.166666667,284.0833333,2.15,37.66666667,12
2013,Trawl,Eureka,2.055555556,222,2.055555556,58.11111111,9
2013,Trawl,Fort Bragg,2.166666667,305.1666667,2.283333333,48.33333333,6
2013,Trawl,Monterey and Morro Bay,1.666666667,209.7777778,3.8,82.33333333,3
2013,Trawl,Newport,2,427,2.7,41.66666667,6
2013,Trawl,San Francisco and Bodega Bay,-999,-999,-999,-999,-999
2013,Trawl,Washington,2.25,371.25,4.325,67.5,4
2014,Trawl,Astoria and Tillamook,1.916666667,259,4.241666667,86.66666667,12
2014,Trawl,Brookings and Crescent City,2,314,2.02,42.2,5
2014,Trawl,Coos Bay,2.25,297.875,2.075,28.875,8
2014,Trawl,Eureka,2.25,213.5,2.085714286,63.125,8
2014,Trawl,Fort Bragg,2.333333333,310.1666667,2.283333333,49.16666667,6
2014,Trawl,Monterey and Morro Bay,2.666666667,305.6666667,3.833333333,101.3333333,3
2014,Trawl,Newport,2,515.8,2.64,50,5
2014,Trawl,San Francisco and Bodega Bay,-999,-999,-999,-999,-999
2014,Trawl,Washington,-999,-999,-999,-999,-999
