SPGRP,portgrp,GEAR,2009,2010,2011,2012,2013
Rockfish,Brookings and Crescent City,Trawl,22834.29469,33824.3728,18477,4477.005474,24532.74203
Rockfish,Coos Bay,Fixed gear,0,0,-999,-999,0
Rockfish,Coos Bay,Trawl,68354.0242,121491.6074,63662.17511,68670,-999
Rockfish,Eureka,Trawl,-999,20674.3283,-999,-999,-999
Rockfish,Fort Bragg,Fixed gear,0,0,-999,-999,0
Rockfish,Fort Bragg,Trawl,501715,561329.5837,606423.816,547317.7575,754516.9209
Rockfish,Monterey and Morro Bay,Fixed gear,1167,15739.298,3396,16007.7,36951
Rockfish,Monterey and Morro Bay,Trawl,257656,-999,76189.8792,138592.5063,98938
Rockfish,Newport,Fixed gear,0,0,14742.4595,10815,-999
Rockfish,Newport,Trawl,157586.0128,166610.0878,57339.80589,50802.86513,153682.503
Rockfish,San Francisco and Bodega Bay,Fixed gear,0,0,-999,-999,-999
Rockfish,San Francisco and Bodega Bay,Trawl,179699,253648.9613,34762,68672,76581
Rockfish,Washington,Fixed gear,0,0,2725.4379,19165.44,-999
Rockfish,Washington,Trawl,90757.4712,85198.9875,187038.7704,692221.4166,145466.7315
Sablefish,Astoria and Tillamook,Fixed gear,0,0,94032.2,544181.6,256965
Sablefish,Astoria and Tillamook,Trawl,1601661,1427270.8,1015368,638949,797587
Sablefish,Brookings and Crescent City,Trawl,678977,569289.2,357925,411368.4,337707
Sablefish,Coos Bay,Fixed gear,0,0,-999,-999,-999
Sablefish,Coos Bay,Trawl,926759.8,880801.4,536701,571118.2,407397.2
Sablefish,Eureka,Trawl,722158,749437,-999,-999,-999
Sablefish,Fort Bragg,Fixed gear,0,0,-999,-999,-999
Sablefish,Fort Bragg,Trawl,639137,538829,351300.831,304205.8,352186.4
Sablefish,Monterey and Morro Bay,Fixed gear,107062,390093,1002223.6,471265.8,177143.6
Sablefish,Monterey and Morro Bay,Trawl,111418,-999,136019.2,114919.2,79019
Sablefish,Newport,Fixed gear,0,0,554624.2,-999,375848
Sablefish,Newport,Trawl,-999,-999,244006,-999,401398.8
Sablefish,San Francisco and Bodega Bay,Fixed gear,0,0,116964,-999,-999
Sablefish,San Francisco and Bodega Bay,Trawl,126777.5,83682,40440,12473,75337
Sablefish,Washington,Fixed gear,0,0,554221.04,447660.6,-999
Sablefish,Washington,Trawl,434082.8,245039.9363,436299.6,288211,171173.7112
"Sharks, skates and rays",Astoria and Tillamook,Fixed gear,0,0,-999,-999,0
"Sharks, skates and rays",Astoria and Tillamook,Trawl,1009670,991775.4,1385165,1304349,1118721
"Sharks, skates and rays",Brookings and Crescent City,Trawl,85422.884,84170,100179,-999,100187
"Sharks, skates and rays",Coos Bay,Fixed gear,0,0,-999,-999,0
"Sharks, skates and rays",Coos Bay,Trawl,491614,544474,286944,263827,-999
"Sharks, skates and rays",Eureka,Trawl,-999,-999,-999,-999,196070
"Sharks, skates and rays",Fort Bragg,Trawl,100102.0812,-999,107379.6639,110445,113189
"Sharks, skates and rays",Monterey and Morro Bay,Fixed gear,0,-999,-999,-999,-999
"Sharks, skates and rays",Monterey and Morro Bay,Trawl,47176,-999,30797,58379,36046
"Sharks, skates and rays",Newport,Fixed gear,0,0,0,-999,-999
"Sharks, skates and rays",Newport,Trawl,728571,-999,-999,-999,234877
